"(Server Name, Domain)",Servers known in domain
"('k.cctld.us.', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('c.cctld.us.', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('a.cctld.us.', 'us')","{'k.cctld.us.', 'b.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('f.cctld.us.', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('e.cctld.us.', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('d.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('k.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('i.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('a.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('h.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('f.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('l.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('b.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('j.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('g.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('e.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('c.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('m.root-servers.net', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsb.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsa.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
