"(Server Name, Domain)",Servers known in domain
"('j.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('k.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('l.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('h.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('f.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('m.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('c.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('a.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('a.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('k.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('f.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('h.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('b.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('g.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('m.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('d.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('e.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('i.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('c.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('l.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('j.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'm.gtld-servers.net.', 'g.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('g.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('e.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('d.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('i.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('b.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('j.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('k.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('l.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('h.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('f.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('m.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('c.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('a.root-servers.net', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('g.ext.nic.fr.', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
