Server Name,Server Information
d.ext.nic.fr.,"DNS information
Domain: fr
Host: d.ext.nic.fr.
IPv4 Addresses: 192.5.4.2 
IPv6 Addresses :2001:500:2e::2 
Description: Name server for domain ""fr"""
d.nic.fr.,"DNS information
Domain: fr
Host: d.nic.fr.
IPv4 Addresses: 194.0.9.1 
IPv6 Addresses :2001:678:c::1 
Description: Name server for domain ""fr"""
e.ext.nic.fr.,"DNS information
Domain: fr
Host: e.ext.nic.fr.
IPv4 Addresses: 193.176.144.22 
IPv6 Addresses :2a00:d78:0:102:193:176:144:22 
Description: Name server for domain ""fr"""
g.ext.nic.fr.,"DNS information
Domain: fr
Host: g.ext.nic.fr.
IPv4 Addresses: 194.0.36.1 
IPv6 Addresses :2001:678:4c::1 
Description: Name server for domain ""fr"""
f.ext.nic.fr.,"DNS information
Domain: fr
Host: f.ext.nic.fr.
IPv4 Addresses: 194.146.106.46 
IPv6 Addresses :2001:67c:1010:11::53 
Description: Name server for domain ""fr"""
c.dns.cn.,"DNS information
Domain: cn
Host: c.dns.cn.
IPv4 Addresses: 203.119.27.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
d.dns.cn.,"DNS information
Domain: cn
Host: d.dns.cn.
IPv4 Addresses: 203.119.28.1 
IPv6 Addresses :2001:dc7:1000::1 
Description: Name server for domain ""cn"""
b.dns.cn.,"DNS information
Domain: cn
Host: b.dns.cn.
IPv4 Addresses: 203.119.26.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
f.dns.cn.,"DNS information
Domain: cn
Host: f.dns.cn.
IPv4 Addresses: 195.219.8.90 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
g.dns.cn.,"DNS information
Domain: cn
Host: g.dns.cn.
IPv4 Addresses: 66.198.183.65 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
e.dns.cn.,"DNS information
Domain: cn
Host: e.dns.cn.
IPv4 Addresses: 203.119.29.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
ns.cernet.net.,"DNS information
Domain: cn
Host: ns.cernet.net.
IPv4 Addresses: 202.112.0.44 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
a.dns.cn.,"DNS information
Domain: cn
Host: a.dns.cn.
IPv4 Addresses: 203.119.25.1 
IPv6 Addresses :2001:dc7::1 
Description: Name server for domain ""cn"""
e.dns.ripn.net.,"DNS information
Domain: ru
Host: e.dns.ripn.net.
IPv4 Addresses: 193.232.142.17 
IPv6 Addresses :2001:678:15:0:193:232:142:17 
Description: Name server for domain ""ru"""
f.dns.ripn.net.,"DNS information
Domain: ru
Host: f.dns.ripn.net.
IPv4 Addresses: 193.232.156.17 
IPv6 Addresses :2001:678:14:0:193:232:156:17 
Description: Name server for domain ""ru"""
d.dns.ripn.net.,"DNS information
Domain: ru
Host: d.dns.ripn.net.
IPv4 Addresses: 194.190.124.17 
IPv6 Addresses :2001:678:18:0:194:190:124:17 
Description: Name server for domain ""ru"""
a.dns.ripn.net.,"DNS information
Domain: ru
Host: a.dns.ripn.net.
IPv4 Addresses: 193.232.128.6 
IPv6 Addresses :2001:678:17:0:193:232:128:6 
Description: Name server for domain ""ru"""
b.dns.ripn.net.,"DNS information
Domain: ru
Host: b.dns.ripn.net.
IPv4 Addresses: 194.85.252.62 
IPv6 Addresses :2001:678:16:0:194:85:252:62 
Description: Name server for domain ""ru"""
a.dns.RIPN.net.,"DNS information
Domain: ru
Host: a.dns.RIPN.net.
IPv4 Addresses: 193.232.128.6 
IPv6 Addresses :2001:678:17:0:193:232:128:6 
Description: Name server for domain ""ru"""
b.dns.RIPN.net.,"DNS information
Domain: ru
Host: b.dns.RIPN.net.
IPv4 Addresses: 194.85.252.62 
IPv6 Addresses :2001:678:16:0:194:85:252:62 
Description: Name server for domain ""ru"""
d.dns.RIPN.net.,"DNS information
Domain: ru
Host: d.dns.RIPN.net.
IPv4 Addresses: 194.190.124.17 
IPv6 Addresses :2001:678:18:0:194:190:124:17 
Description: Name server for domain ""ru"""
e.dns.RIPN.net.,"DNS information
Domain: ru
Host: e.dns.RIPN.net.
IPv4 Addresses: 193.232.142.17 
IPv6 Addresses :2001:678:15:0:193:232:142:17 
Description: Name server for domain ""ru"""
f.dns.RIPN.net.,"DNS information
Domain: ru
Host: f.dns.RIPN.net.
IPv4 Addresses: 193.232.156.17 
IPv6 Addresses :2001:678:14:0:193:232:156:17 
Description: Name server for domain ""ru"""
b.ns.se.,"DNS information
Domain: se
Host: b.ns.se.
IPv4 Addresses: 192.36.133.107 
IPv6 Addresses :2001:67c:254c:301::53 
Description: Name server for domain ""se"""
j.ns.se.,"DNS information
Domain: se
Host: j.ns.se.
IPv4 Addresses: 199.254.63.1 
IPv6 Addresses :2001:500:2c::1 
Description: Name server for domain ""se"""
i.ns.se.,"DNS information
Domain: se
Host: i.ns.se.
IPv4 Addresses: 194.146.106.22 
IPv6 Addresses :2001:67c:1010:5::53 
Description: Name server for domain ""se"""
a.ns.se.,"DNS information
Domain: se
Host: a.ns.se.
IPv4 Addresses: 192.36.144.107 
IPv6 Addresses :2a01:3f0:0:301::53 
Description: Name server for domain ""se"""
f.ns.se.,"DNS information
Domain: se
Host: f.ns.se.
IPv4 Addresses: 192.71.53.53 
IPv6 Addresses :2a01:3f0:0:305::53 
Description: Name server for domain ""se"""
z.ns.se.,"DNS information
Domain: se
Host: z.ns.se.
IPv4 Addresses: 185.159.198.150 
IPv6 Addresses : No information
Description: Name server for domain ""se"""
x.ns.se.,"DNS information
Domain: se
Host: x.ns.se.
IPv4 Addresses: 213.108.25.4 
IPv6 Addresses :2001:67c:124c:e000::4 
Description: Name server for domain ""se"""
c.ns.se.,"DNS information
Domain: se
Host: c.ns.se.
IPv4 Addresses: 192.36.135.107 
IPv6 Addresses :2001:67c:2554:301::53 
Description: Name server for domain ""se"""
y.ns.se.,"DNS information
Domain: se
Host: y.ns.se.
IPv4 Addresses: 185.159.197.150 
IPv6 Addresses :2620:10a:80aa::150 
Description: Name server for domain ""se"""
g.ns.se.,"DNS information
Domain: se
Host: g.ns.se.
IPv4 Addresses: 130.239.5.114 
IPv6 Addresses :2001:6b0:e:3::1 
Description: Name server for domain ""se"""
ns30.cdns.net.,"DNS information
Domain: my
Host: ns30.cdns.net.
IPv4 Addresses: 194.0.1.30 
IPv6 Addresses :2001:678:4::1e 
Description: Name server for domain ""my"""
a1.mynic.my.,"DNS information
Domain: my
Host: a1.mynic.my.
IPv4 Addresses: 202.171.47.204 
IPv6 Addresses : No information
Description: Name server for domain ""my"""
a.mynic.net.my.,"DNS information
Domain: my
Host: a.mynic.net.my.
IPv4 Addresses: 49.236.194.202 
IPv6 Addresses :2401:b000:602:1001::11 
Description: Name server for domain ""my"""
ns2.cuhk.edu.hk.,"DNS information
Domain: my
Host: ns2.cuhk.edu.hk.
IPv4 Addresses: 137.189.6.21 
IPv6 Addresses :2405:3000:3:6::15 
Description: Name server for domain ""my"""
ns-my.nic.fr.,"DNS information
Domain: my
Host: ns-my.nic.fr.
IPv4 Addresses: 192.134.0.49 
IPv6 Addresses :2001:660:3006:1::1:1 
Description: Name server for domain ""my"""
b.mynic.net.my.,"DNS information
Domain: edu.my
Host: b.mynic.net.my.
IPv4 Addresses: 49.236.194.203 
IPv6 Addresses :2401:b000:602:1001::12 
Description: Name server for domain ""edu.my"""
b1.mynic.my.,"DNS information
Domain: edu.my
Host: b1.mynic.my.
IPv4 Addresses: 202.171.47.205 
IPv6 Addresses : No information
Description: Name server for domain ""edu.my"""
ns-a3.io.,"DNS information
Domain: io
Host: ns-a3.io.
IPv4 Addresses: 74.116.178.1 
IPv6 Addresses : No information
Description: Name server for domain ""io"""
a2.nic.io.,"DNS information
Domain: io
Host: a2.nic.io.
IPv4 Addresses: 65.22.163.17 
IPv6 Addresses :2a01:8840:a1::17 
Description: Name server for domain ""io"""
c0.nic.io.,"DNS information
Domain: io
Host: c0.nic.io.
IPv4 Addresses: 65.22.162.17 
IPv6 Addresses :2a01:8840:a0::17 
Description: Name server for domain ""io"""
a0.nic.io.,"DNS information
Domain: io
Host: a0.nic.io.
IPv4 Addresses: 65.22.160.17 
IPv6 Addresses :2a01:8840:9e::17 
Description: Name server for domain ""io"""
