"(Server Name, Domain)",Servers known in domain
"('i.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('k.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('d.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('e.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('l.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('f.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('m.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('b.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('j.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('h.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('g.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
