Application Name,Application ID
"('nsb.ns.il.', 'co.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns2.ns.il.', 'co.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nse.ns.il.', 'co.il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ilns.ilan.net.il.', 'co.il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns1.ns.il.', 'co.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('sns-pb.isc.org.', 'co.il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsa.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('ns3.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('lookup.iucc.ac.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('nsb.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('ns2.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('nse.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
