"(Server Name, Domain)",Servers known in domain
"('i.root-servers.net', 'st')","{'dns-us.st.', 'ns1.bahnhof.net.', 'dns-st.bahnhof.net.', 'dns-au.st.'}"
"('m.gtld-servers.net.', 'naver.com')","{'ns2.naver.com.', 'ns1.naver.com.'}"
"('a.edu-servers.net.', 'edu')","{'d.edu-servers.net.', 'a.edu-servers.net.', 'c.edu-servers.net.', 'l.edu-servers.net.', 'f.edu-servers.net.', 'g.edu-servers.net.'}"
"('c.root-servers.net', 'ovh')","{'d.nic.fr.', 'g.ext.nic.fr.', 'f.ext.nic.fr.'}"
"('c.gtld.biz.', 'biz')","{'a.gtld.biz.', 'b.gtld.biz.', 'f.gtld.biz.', 'e.gtld.biz.', 'c.gtld.biz.', 'k.gtld.biz.'}"
"('i.root-servers.net', 'today')","{'demand.beta.aridns.net.au.', 'demand.gamma.aridns.net.au.', 'demand.delta.aridns.net.au.', 'demand.alpha.aridns.net.au.'}"
"('d.hkirc.net.hk.', 'org.hk')","{'w.hkirc.net.hk.', 'v.hkirc.net.hk.', 'z.hkirc.net.hk.', 'd.hkirc.net.hk.', 'y.hkirc.net.hk.', 't.hkirc.net.hk.', 'u.hkirc.net.hk.', 'c.hkirc.net.hk.', 'x.hkirc.net.hk.'}"
"('h.root-servers.net', 'pe')","{'pch.rcp.pe.', 'pe1.dnsnode.net.', 'quipu.rcp.net.pe.', 'sns-pb.isc.org.'}"
"('f.gtld-servers.net.', 'aliexpress.com')","{'nsp.alibabaonline.com.', 'nshz.alibabaonline.com.', 'ns8.alibabaonline.com.', 'nsp2.alibabaonline.com.'}"
"('ccl.dns.RIPN.net.', 'gov.ru')","{'ns.gov.ru.', 'acl.dns.ripn.net.', 'ccl.dns.ripn.net.', 'bcl.dns.ripn.net.', 'ns2.gov.ru.'}"
"('c.ns.se.', 'se')","{'i.ns.se.', 'j.ns.se.', 'a.ns.se.', 'c.ns.se.', 'y.ns.se.', 'z.ns.se.', 'g.ns.se.', 'f.ns.se.', 'b.ns.se.', 'x.ns.se.'}"
"('l.nic.rs.', 'ac.rs')","{'ns.rcub.bg.ac.rs.', 'ns2.iif.hu.', 'gaea.rcub.bg.ac.rs.', 'ns.etf.bg.ac.rs.', 'ns.unic.kg.ac.rs.', 'ban.junis.ni.ac.rs.', 'odisej.telekom.rs.', 'ns1.uns.ac.rs.'}"
"('h.root-servers.net', 'pr')","{'a2.pr.afilias-nst.info.', 'c0.pr.afilias-nst.info.', 'b0.pr.afilias-nst.org.', 'd0.pr.afilias-nst.org.', 'a0.pr.afilias-nst.info.', 'pr-dns.denic.de.', 'b2.pr.afilias-nst.org.'}"
"('h.root-servers.net', 'asia')","{'c0.asia.afilias-nst.info.', 'b2.asia.afilias-nst.org.', 'd0.asia.afilias-nst.asia.', 'b0.asia.afilias-nst.asia.', 'a0.asia.afilias-nst.info.', 'a2.asia.afilias-nst.info.'}"
"('k.root-servers.net', 'xn--p1ai')","{'a.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.', 'b.dns.ripn.net.', 'f.dns.ripn.net.'}"
"('g.root-servers.net', 'ly')","{'dns.lttnet.net.', 'pch.ltt.ly.', 'phloem.uoregon.edu.', 'dns1.lttnet.net.', 'ns-ly.afrinic.net.'}"
"('l.root-servers.net', 'bd')","{'surma.btcl.net.bd.', 'dns.bd.', 'jamuna.btcl.net.bd.', 'bd-ns.anycast.pch.net.'}"
"('ns1.liquidtelecom.net.', 'org.zw')","{'ns1.telone.co.zw.', 'ns2.telone.co.zw.', 'ns1.liquidtelecom.net.', 'ns2.liquidtelecom.net.'}"
"('c.root-servers.net', 'br')","{'a.dns.br.', 'd.dns.br.', 'f.dns.br.', 'b.dns.br.', 'c.dns.br.', 'e.dns.br.'}"
"('e.root-servers.net', 'moe')","{'ns5.dns.nic.moe.', 'ns3.dns.nic.moe.', 'ns6.dns.nic.moe.', 'ns4.dns.nic.moe.', 'ns1.dns.nic.moe.', 'ns2.dns.nic.moe.'}"
"('c.root-servers.net', 'jobs')","{'ac4.nstld.com.', 'ac2.nstld.com.', 'ac1.nstld.com.', 'ac3.nstld.com.'}"
"('ns-a3.io.', 'io')","{'ns-a1.io.', 'b0.nic.io.', 'a2.nic.io.', 'a0.nic.io.', 'ns-a3.io.', 'c0.nic.io.'}"
"('m.gtld-servers.net.', 'allyes.com')","{'ns1.allyes.net.', 'ns2.allyes.net.'}"
"('f.gtld-servers.net.', 'jd.com')","{'ns2.jdcache.com.', 'ns3.jdcache.com.', 'ns4.jdcache.com.', 'ns1.jdcache.com.'}"
"('m.root-servers.net', 'af')","{'ns.anycast.nic.af.', 'ns.cocca.fr.', 'ns.coccaregistry.org.'}"
"('k.root-servers.net', 'site')","{'a.nic.site.', 'd.nic.site.', 'b.nic.site.', 'c.nic.site.'}"
"('ns2.nic.ve.', 've')","{'ns2.nic.ve.', 'ns1.nic.ve.', 'azmodan.ula.ve.', 'ns-ext.nic.cl.', 'ns3.nic.ve.', 'sns-pb.isc.org.', 'ns4.nic.ve.'}"
"('ns3.registre.ma.', 'ma')","{'ns1.registre.ma.', 'ns3.registre.ma.', 'ns2.nic.fr.', 'ns4.registre.ma.', 'ns2.registre.ma.', 'dns.inria.fr.', 'sns-pb.isc.org.'}"
"('f.root-servers.net', 'ca')","{'x.ca-servers.ca.', 'any.ca-servers.ca.', 'c.ca-servers.ca.', 'j.ca-servers.ca.'}"
"('l.root-servers.net', 'dk')","{'b.nic.dk.', 'p.nic.dk.', 'c.nic.dk.', 's.nic.dk.', 'l.nic.dk.', 'a.nic.dk.'}"
"('nsb.nic.uk.', 'police.uk')","{'ans1.cw.net.', 'ans2.cw.net.'}"
"('l.root-servers.net', 'by')","{'dns6.tld.tutby.com.', 'dns1.tld.tutby.com.', 'dns2.tld.tutby.com.', 'dns3.tld.tutby.com.', 'dns4.tld.tutby.com.', 'dns7.tld.tutby.com.', 'dns5.tld.tutby.com.'}"
"('c.root-servers.net', 'live')","{'demand.beta.aridns.net.au.', 'demand.alpha.aridns.net.au.', 'demand.gamma.aridns.net.au.', 'demand.delta.aridns.net.au.'}"
"('y.ns.dns.be.', 'ac.be')","{'ns2.belnet.be.', 'ns3.belnet.be.', 'ns1.surfnet.nl.', 'ns1.belnet.be.'}"
"('ns-ke.afrinic.net.', 'co.ke')","{'ns2.dns.business.', 'b.ns.tznic.or.tz.', 'kenic.anycastdns.cz.', 'ns.anycast.kenic.or.ke.', 'mzizi.kenic.or.ke.', 'ns-ke.afrinic.net.'}"
