Server Name,Server Information
pac2.nipr.mil.,"DNS information
Domain: mil
Host: pac2.nipr.mil.
IPv4 Addresses: 199.252.155.234 
IPv6 Addresses : No information
Description: Name server for domain ""mil"""
ns1.ns.il.,"DNS information
Domain: il
Host: ns1.ns.il.
IPv4 Addresses: 194.146.106.122 
IPv6 Addresses :2001:67c:1010:31::53 
Description: Name server for domain ""il"""
ns.anycast.kenic.or.ke.,"DNS information
Domain: ke
Host: ns.anycast.kenic.or.ke.
IPv4 Addresses: 204.61.216.7 
IPv6 Addresses :2001:500:14:6007:ad::1 
Description: Name server for domain ""ke"""
pch.carnet.hr.,"DNS information
Domain: hr
Host: pch.carnet.hr.
IPv4 Addresses: 204.61.216.90 
IPv6 Addresses :2001:500:14:6090:ad::1 
Description: Name server for domain ""hr"""
d.dns.ripn.net.,"DNS information
Domain: ru
Host: d.dns.ripn.net.
IPv4 Addresses: 194.190.124.17 
IPv6 Addresses :2001:678:18:0:194:190:124:17 
Description: Name server for domain ""ru"""
g-dns.pl.,"DNS information
Domain: pl
Host: g-dns.pl.
IPv4 Addresses: 149.156.1.252 
IPv6 Addresses :2001:6d8:1001:1::252 
Description: Name server for domain ""pl"""
d.ns.nic.cz.,"DNS information
Domain: cz
Host: d.ns.nic.cz.
IPv4 Addresses: 193.29.206.1 
IPv6 Addresses :2001:678:1::1 
Description: Name server for domain ""cz"""
ns1.liquidtelecom.net.,"DNS information
Domain: zw
Host: ns1.liquidtelecom.net.
IPv4 Addresses: 5.11.11.1 
IPv6 Addresses :2c0f:fe40::5:11:11:1 
Description: Name server for domain ""zw"""
ns4.dnsv4.com.,"DNS information
Domain: tom.com
Host: ns4.dnsv4.com.
IPv4 Addresses: 111.161.57.58 14.215.150.15 183.232.90.141 184.105.206.69 223.166.151.14 223.166.151.15 58.251.86.11 59.36.120.145 61.151.180.50 
IPv6 Addresses : No information
Description: Name server for domain ""tom.com"""
ns.dns.br.,"DNS information
Domain: pt
Host: ns.dns.br.
IPv4 Addresses: 200.160.0.5 
IPv6 Addresses :2001:12ff:0:a20::5 
Description: Name server for domain ""pt"""
ns3.dns.nic.moe.,"DNS information
Domain: moe
Host: ns3.dns.nic.moe.
IPv4 Addresses: 156.154.159.114 
IPv6 Addresses :2610:a1:1073::72 
Description: Name server for domain ""moe"""
c.gov-servers.net.,"DNS information
Domain: gov
Host: c.gov-servers.net.
IPv4 Addresses: 69.36.153.30 
IPv6 Addresses :2620:74:28::2:30 
Description: Name server for domain ""gov"""
c.dns.PY.,"DNS information
Domain: py
Host: c.dns.PY.
IPv4 Addresses: 130.59.31.30 
IPv6 Addresses :2001:620:0:ff::30 
Description: Name server for domain ""py"""
ns3.dns.nl.,"DNS information
Domain: nl
Host: ns3.dns.nl.
IPv4 Addresses: 194.0.25.24 
IPv6 Addresses :2001:678:20::24 
Description: Name server for domain ""nl"""
a0.asia.afilias-nst.info.,"DNS information
Domain: asia
Host: a0.asia.afilias-nst.info.
IPv4 Addresses: 199.19.55.1 
IPv6 Addresses :2001:500:d::1 
Description: Name server for domain ""asia"""
nix.ns.ua.,"DNS information
Domain: com.ua
Host: nix.ns.ua.
IPv4 Addresses: 62.149.7.77 
IPv6 Addresses :2a03:6300:1:102::3 
Description: Name server for domain ""com.ua"""
a.ns.nu.,"DNS information
Domain: nu
Host: a.ns.nu.
IPv4 Addresses: 194.146.106.22 
IPv6 Addresses :2001:67c:1010:5::53 
Description: Name server for domain ""nu"""
ns3.p47.dynect.net.,"DNS information
Domain: ebay.com
Host: ns3.p47.dynect.net.
IPv4 Addresses: 208.78.71.47 
IPv6 Addresses : No information
Description: Name server for domain ""ebay.com"""
dns.inria.fr.,"DNS information
Domain: ma
Host: dns.inria.fr.
IPv4 Addresses: 193.51.208.13 
IPv6 Addresses : No information
Description: Name server for domain ""ma"""
